,id,probability,time,image_number,value,classifier,created_at,updated_at,clip_id
85,86,90.35781025886536,,45,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
86,87,97.93573021888733,,46,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
87,88,93.03005933761597,,47,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
88,89,96.95457220077515,,48,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
89,90,95.71084976196289,,49,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
90,91,96.24879360198975,,50,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
91,92,53.34406495094299,,10,"mobile home, manufactured home",image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
92,93,51.05493664741516,,26,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
93,94,51.841431856155396,,27,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
94,95,59.60792303085327,,44,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
95,96,60.535699129104614,,45,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
96,97,52.85130739212036,,46,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
97,98,59.377628564834595,,47,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
98,99,50.98550319671631,,48,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
99,100,69.91045475006104,,49,monastery,image_classifier_mobilenet,2019-04-09 11:00:44,2019-04-09 11:00:44,12.0
100,101,67.63725280761719,,17,"cab, hack, taxi, taxicab",image_classifier_mobilenet,2019-04-09 11:31:22,2019-04-09 11:31:22,15.0
101,102,53.4991979598999,,18,fountain,image_classifier_mobilenet,2019-04-09 11:31:22,2019-04-09 11:31:22,15.0
