encode_id,clip_id,encode_width,encode_height,clip_width,clip_height,clip_duration,clip_size,clip_bitrate_total,video_profile,clip_frame_rate,crf,encode_bitrate_video,nr_of_images,nr_of_image_shifts,psnr,vmaf
113,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,148286,3,8,29.792802,17.751968
114,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,117898,3,8,29.161285,14.547329
115,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,94248,3,8,28.495848,11.516336
116,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,67596,3,8,27.447323,7.677073
117,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,49235,3,8,26.386755,5.204891
118,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,39870,3,8,25.617776,3.630286
119,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,21102,3,8,23.727665,1.364914
120,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,18747,3,8,23.456202,1.110958
121,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,763264,3,8,32.120397,39.067187
122,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,664721,3,8,32.012201,37.246388
123,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,579525,3,8,31.895735,35.338617
124,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,443468,3,8,31.624186,31.317592
125,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,389429,3,8,31.468968,29.218578
126,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,301006,3,8,31.113622,24.980386
127,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,233192,3,8,30.699852,21.02478
128,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,180728,3,8,30.2259,17.416769
129,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,159292,3,8,29.96461,15.734019
130,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,140828,3,8,29.693483,14.095888
131,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,124866,3,8,29.408259,12.822335
132,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,110672,3,8,29.115373,11.410493
133,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,88148,3,8,28.507661,9.110562
134,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,70162,3,8,27.861025,6.99646
135,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,50498,3,8,26.851641,4.495121
136,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,36866,3,8,25.789363,2.875284
137,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,29874,3,8,25.06125,1.893896
138,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,15491,3,8,23.286703,1.018761
